"ID","REVIEW","RATING","AUTHOR","TITLE"
"11","At least well 2/3's of the movie, its grumpy men and voulnerable women, not as old as me though, but quarelling just like theyve always done in castaway movies since the birth of cinematology.Its a trip to the gbr area of australia, a paradise turns into hell due to a great white dork of a shark, sinking their main transportation vehicle, and and do the spagat move into the saafety of a rubber dongi,rolliing the perpendicular waltz rythm of the great pacific ocean. Some small attacks occurs, accompanied with a terribly loud sound and musical effects... and thats it. Will they survive?? I shall not reveal anything...i am modestly speaking extremely disapointed by the poor ingenouity by the makers, and i wont mention all the breakwaters and sandbottom and shifting sky that the editor has had to work with, the obvioiously moored rubber dingy is pretty bad obscured, and my compulsive answer to everyone wanting to see a good shark film, just forget this one. The script is written in the sand at the nearby beach, and of course they are pregnant with a wowsharknado concept is actually far better thinks the grumpy old man, even though i dont like them either. This is just to draw a good slump of pocketmoney outta your drawers.","3","ops-52535"," its raft fever...
"
"12","Many have tried to replicate the success of Steven Spielberg's Jaws and have not yet succeeded. This film too often puts the viewer on a buffer, as with a bad Internet, and does not help at all to understand what is happening. The creators had an ocean of opportunities and they missed them. Two things worry me: what the sharks have done, that they are forced to shoot in this, and how you and I will survive this film.","3","seventhriotontheship"," Jaws 57
"
"13","When u come to watch a typical shark movie , you definetly do not expect to see an oscar withy movie however this movies dove below the already set average standard of a typical shark movie. Horrible CGI, disatrous actors, weak dialouge, expected story and the list goes on. As a shark lover, i immediately downloaded the movie but left utterly disappointed at the end.","1","hossamahmed-30148"," Below average
"
"14","Bad CGI and rubbish story. Really!!!The female lead drowns and then is brought back to life underwater by another female blowing into her mouth. The female lead miraculously comes back to life and fights the shark again without taking a breath of air. Zzzzz.","1","divealanya"," Total junk movie
"
"15","I am very impressed how a mouth to mouth underwater makes it possible for the two people to live and continue to hold their breath long enough to kill the shark. OMG!","2","twinmom-10035"," Waste of time
"
"16","Finally a shark movie that is well-worth diving into, if you don't mind swimming with great white sharks.I sat down to watch the 2021 movie ""Great White"" from writer Michael Boughen and director Martin Wilson with no expectations. I was dreading that it was going to be just another run-of-the-mill shark movie, you know, the ones that come a dime a dozen. But still, I've always enjoyed shark movies, ever since watching ""Jaws"" as a child. So of course I sat down to watch ""Great White"".I have to say that the movie's cover/poster definitely was helping to win me over and make me have an interest in watching the movie.Right, well on to it. ""Great White"" is a movie that you should treat yourself to watching, especially if you enjoy shark movies. Because this 2021 movie is a movie that is driven by a good story, well-rounded characters, excitement and also a sense of despair from the marooned people adrift. So that was a major accomplishment on director Martin Wilson's behalf.The storyline is as interesting as it is exciting. Sure, it is a rather generic storyline if you look at it objectively. I mean, you have a shark that accidentally causes five people to become marooned at sea, with hundreds of miles to the shoreline, as it causes their airplane to sink - gee, now where have we seen that before? Duh dum, duh dum, dum, dum, dum, dum.... get it? But at the same time, it is also a storyline that is well-written as it managed to snatch you up and bring you along right there in the raft alongside the marooned five. So writer Michael Boughen definitely made things work.There is a good amount of excitement and thrills in the movie, as there should be in any good shark movie. And it worked so nicely in this movie, especially because there was such a good balance between the hopelessness of being marooned so far out at sea and the feel of being stalked by a great white, knowing it is there in the water but rarely see it come to the surface. I most certainly enjoyed that aspect of ""Great White"".Something else that made the movie work out so well was the impressive character gallery. Sure, the movie have only five people in it, essentially, but these characters are so well-rounded and nicely fleshed out, given personalities, quirks, traits, etc. Which made for a very lively movie, and you get sucked in right away, taking an instant liking to some character and a dislike to another. That was really nice work from writer Michael Boughen. And also a big thumbs up to the cast in the movie. They had casted some really talented actors and actresses for this movie, with the likes of Katrina Bowden (playing Kaz), Aaron Jakubenko (playing Charlie), Te Kohe Tuhaka (playing Benny), Tim Kano (playing Joji) and Kimie Tsukakoshi (playing Michelle). Great cast choices and great individual performances by the cast in this movie. And it should be said that the cast definitely made this movie more than watchable.The sharks in the movie were definitely good and felt very real, especially since it was a combination of real footage and a prop. And the prop looked really realistic, which added so much to the movie. The only downside here, was the sound that they added to the sharks, sort of a growling thing going on. That was just idiotic. Sure, I get it for terms of thrills and entertainment for the movie. But no, it just dumbs it down. Sharks are silent predators, keep it realistic and keep them soundless. But it was a minor annoyance in the movie, which didn't really impact the overall enjoyment of the movie. It was just a stupid little thing that sat like a thorn in the side of me.If you are only going to watch a single shark movie this year, make it ""Great White"", because this movie is so well-worth taking the time and effort to sit down and watch. I was more than genuinely entertained by what this movie offered, and it is one that I can warmly recommend.My rating of ""Great White"" lands on a seven out of ten stars. This is one of those instances when it is a shark movie done right.","7","paul_haakonsen"," A very exciting and thrilling shark movie...
"
"17","Totally waste of time and money, worst movie to start the summer with.","1","gsyfrafjrp"," Waste of time and money!
"
"18","I think I looked at the screen like twice for 10 seconds. This was terribly boring. I couldn't even pay attention or look away from my phone. Rarely do you get to see the shark. The acting was beyond wretched. The worst part is this is coming from someone who loves any shark movies and anything to do with water really. Skip this Snoozefest! I wish I did. Reviews didn't lie here.","2","ryanlion-38514"," All Dialogue No Shark
"
"19","Yes the movie is far fetch some effects are pretty awful looking too shark cgi of course.There is some gore.A struggling tour guide gets 2 customers (rich Asians) and take off on is plane.The reach an island where the asian women wants to spread her uncle remains is last dying wish. But they find a mangled body from a shark attack, they argue they look around to find the boat the the women he was with.... when they find it she is dead and the shark attacks the plane sinking it... yeah you read that right.This movie is far fetch now they argue and try to survive on a life boat you know the rest.Boring and predictable and nothing new, pass on this one.","3","kaefab"," far fetch and the usual stranded with shark movie
"
"20","Evet a child would write a better dialogues between the characters. That' all I'm going to say.","3","katiha"," Oh Dear God
"
"21","The EXACT plot has been done so many times before - hell even the characters (maybe actors?) are the same. 5 friends caught out with no contact, no rescue - shark circling, getting picked off one by one... blah blah.Seems pointless to make this and probably puts people off tourism in Australia. ð","2","benjamin-ensor"," Why bother making this?
"
"22","Five people on a rescue mission in shark infested waters, what could go wrong? Listen, don't expect awesome CGI here, the plot is half baked and I couldn't give two squirts of squirrel pee less about the characters, but the film packs some nice thrills and overall, I was entertained. This isn't trying to be a great movie, but just one for the shark horror fans - and let's face it guys, we've had just 1 fantastic sharkfilm. Ever. Until the next one comes, if it ever does, movies like these are enough to still the hunger.","6","PennywiseFA"," Good popcorn fun, don't expect any realism here
"
"23","I love shark films, but I don't know who to blame - the writer or the producers who greenlit this. The story construction is utter disappointment. I couldn't have cared less about the characters, it was just wasted screen time. There was one moment the film could have redeemed itself, when the chick swam out to get the paddle but nothing happened, that could have been a powerful moment, instead it was just more bad screenwriting. This whole production was a wasted opportunity.","4","JoelChamp85"," What A Waste
"
"24","Okay so first I am a big fan of shark movies. Anything to do with sharks, gators and all that,I'm there. This film was better than I expected cos I read the reviews and almost skipped it but I am glad I did not. The reviews are so wrong. I have seen worse movies,dull movies that have got higher ratings than this and this movie does not deserve the low ratings. It was interesting right from the start I like that there at least gave some background about the two mains unlike alot of the other similar ones that just get straight to the sharks. All in all it was a very good movie especially if you like these types of movies.","8","agnethagillbanks20"," What's with the low rating!!!
"
"25","Avoid ""Great White""! It is just boring. The characters just bicker 90% of the time, I think even the shark was bored as it only turned up every now and then, before going off to probably watch paint dry or something. In fact it probably just ate people to stop then whining at each other as that is what seems to pass as ""character development"".","1","imcaufieldholt"," Even the shark was bored
"
"26","Ill bullet point instead of writing a story.Typical stupid decision making.Shark attacks a plane but doesn't manage to destroy an inflatable life raft.Predictable outcome.Asian chick looked beat up by the end, blond girl looked as though she'd just come out of the salon.Pre event story pointless.Asian guy annoying, obvious he wasn't going to make it.","3","lukemurray-40846"," Standard shark film
"
"27","What a load of rubbish, acting was bad, story line was bad, the sharks were , bad. Unbelievable and so unrealistic. Please don't waste your time or your money. I unfortunately just bought the dvd forv7 quid and I'm sticking it straight into my get rid of pile.","2","pjkaustin"," Great white load of crap
"
"28","This was so dreadful it's worth watching to laugh at. Sure, it's got nice scenery. But that's it. The acting is absolutely woeful. In fact, you could play a drinking game with expressions. The cast give long meaningful looks at each other, the only trouble is the specific meaning of the look is utterly lost due to bad acting and worse writing. Take a drink every time they did this and you'd not last to the end of the film. The shark action is very minimal. Mostly the movie consists of people in a raft being utterly dumb. Seriously, they don't unpack the survival box until the second day in the boat. They don't conserve the water when it rains, despite having no bottled water left. Every single time the shark attacks they all stand up, the women scream and then they all fall overboard because they are standing. Even when they get to some rusting hulks in the water which are entirely stable, when they see the shark the women scream and fall over into the water. That was my favourite bit. I actually skipped the last five minutes of this. By that stage I didn't care if they lived or died. I was rooting for the shark.","unknown_value_please_contact_support","JICNZ"," Worth A Watch For Comedic Value Only
"
"29","Honestly the story line and concept was great, the acting was decent, the animations were absolutely terrible.","3","jkingliz"," Good concept, bad representation.
"
"30","A seaplane operator couple and their passengers become stranded miles from shore.In a sea of shark survival films, Open Water, Reef, Adrift to name a few, director Martin Wilson offers one of the better-made outings of the genre. However, writer Michael Boughen's dialogue and setups are at times painfully repetitive. There's only so many times people can fall out of a raft or stupidly argue. Thankfully, Wilson delivers some interesting camera tricks along with Tony O'Loughla's cinematography and creates a scary feeling with the black abyss and scale of the open sea. While the CGI is a little hit and miss, the real shark footage and on-location shots keep things visually interesting.It's played straight and the cast do their professional best with some lapses in logic. Great White has its own actress Katrina Bowden (a Christine Taylor lookalike) channels Blake Lively as Kaz. Bowden does a great job alongside Mathew Matthew McConaughey-alike Aaron Jakubenko who plays a likeable shark attack survivor Charlie Brody.Subjectively it's better than 47 Meters Down: Uncaged and Frenzy (which also features a plane crash) but is debatably not as good as The Shallows or 47 Meters Down. Along with the fantastic looking and well-staged shipwreck last act, the scenery, makeup effects and the real shark footage is impressive.The fact that it carries the title - Great White - you go in expecting more, not just a two-for-one on great whites. Nevertheless, Wilson does well with the budget, building enough tension and creating shark scares to make it worth a watch.","unknown_value_please_contact_support","amesmonde"," A mixed bucket of chum with a great last act.
"
"31","Luke doesn't make it through the opening scene. We then jump to Charley (Aaron Jakubenko) and Kaz (Katrina Bowden) who own a charter sea plane company. They take a couple to an island along with odd man out Benny (Te Kohe Tuhaka) who is slightly dark skinned so we know he will be first to go. Kaz is pregnant so she must be the final girl by ""B"" movie code. The plane has an issue (it sinks) and we end up with five people in a rubber raft who somehow keep falling out.Katrina Bowden did well against flying piranhas so a Great White shouldn't be too much of an issue. This was a cliche shark film. Nothing new.Guide: F-word. No sex or nudity.","3","nogodnomasters"," What about ""it""?
"
"32","The plot per se was stupid..
come on.. you see a dead guy on the sand and suddenly you feel responsible about his lost and probably dead girlfriend that you end up endangering your own girlfriend who just happens to be pregnant with your child? No no no.Make it that you were planning a get away with her and then the sharks appeared or something.. it doesn't have to be that creative but come on don't make unrealistic reasons for characters to risk themselves for no reason.","2","Lythas_85"," terrible
"
"33","Tourists charter a sea plane to visit a secluded unoccupied island. The charter is crewed by the pilot, his wife and the cook/gopher. The purpose was to return the cremated ashes of a Japanese WWII soldier who's comrades died on this island. The plane is stuffed with suitcases and food for what should be a quick trip. The island is not suited for sightseeing or comfort so why bring the wife and the cook? I know, more bait for the sharks who hold grudges and can scream under water.That's the whole plot. The rest I leave to your imagination. Don't try too hard. Well help me understand how/why they brought a 10 man inflatable dingy along. This was a tiny ass plane and they had more supplies than USS Minnow.I was slightly interested in the ""possible"" plot regarding the female's passenger's grandfather's ashes. But it was just a stupid connection that leads the group into this secluded island.","1","irlmchan"," Crap just crap
"
"34","I also cannot fathom some reviewers either as one of the other reviewers also has stated. I do agree, it is ""Not Bad"" even though I suspect margarida-44311 is a shill with only 4 reviews under her belt - The shark effects are actually, quite surprisingly, pretty passable for a low budget shark movie; with the exception of a bit of dodgy CGI when it attacks the plane it is pulled off quite adequately !Acting is decent for the main part and the photography, beach shots and locations are quite lush and some nice drone shots, and some nasty gore shots of half eaten bodies all add a professional touch.Unfortunately the story is a bit lacking and the same old cliches and a similar ending stolen from The Shallows make it wholly very unoriginal and to be honest, unlike great shark films like The Reef or Open Water, what it majorly lacks is any tension or that palpable sense of fear and dread that those other superb films brought to the table and that is what mainly sinks this one for me!I still give it a fair 4/10 as it will make a Friday nights viewing with some sherberts and popcorn but it won't be an epic film evening!","4","omendata"," Not bad for a low budget shark movie - Shark effects are actually quite good!
"
"35","Great White really doesn't deserve the bad reviews it's received here from people who have completely forgotten what movies are here for, to entertain us, and in my opinion Great White delivers, it's a draw you in and keep you interested movie with stunning scenery and good acting from most of the cast with a good storyline I thoroughly enjoyed, it does have a couple of ridiculous scenario's but what shark movie doesn't, those scenario's are easily forgiven given then the type of movie this is.Give it a watch, you won't be sorry.","7","ant36au"," Doesn't deserve the bad reviews
"
"36","The story is bland. The actors are bland. The dialogue is terrible. Fails to build the suspense.","1","hockeyguy9119"," SSDD
"
"37","New worst movie I've ever seen! Not only does it not have a plot, but you actually want the actors to die right from the start. The 2 times you see the Shark in the 1st 88 mins really makes you wonder why it's called Great White & not Raft in Water Wandering Aimlessly.","1","neil-60137"," Great White is awful
"
"38","This film is advertised as if it's from the executive producers of the 47 Meters Down series. I went through every producer credited in this film and none of them are affiliated with the films. After reading some of the reviews I was expecting this movie to be a total flop. To be honest I didn't think it was that bad. Ya some of the acting wasn't the greatest and the movie was tacky at times, but it doesn't deserve a 1 star rating. Not a film I'd watch again but I wouldn't say it was a waste of time. 5 stars.","5","Draysan-Jennings"," 47 Meters Down??
"
"39","A dumbass aussie pilot decides to play search and rescue with his pregnant girlfriend one crew member and a couple who charted a plane to scatter a family members ashes off rhe coast. I never wanted so much a bunch of idiots to die in a film in all my life until watch the beginning of this POS. A movie full cute faces, a dumbass story and a horrible shark premise. Dont bother.","1","whitemanfromtowne"," Starts stupid and gets worse.
"
"40","I am the biggest Jaws fan in the world, just love Sharks in general.Keep hoping that one day someone will be able to make a shark movie as entertaining as Jaws was, this ain't it.","6","richardcarlsen-69748"," Jaws if it was a TV movie
"
"41","Not as bad as is being made out by some reviewersBest just to watch it with your guard down and go with the flow ignoring the holes in the script and the wooden actingAfter all the by now two roaring CGI Great Whites are on our side as they pick off the protagonists in order of acting abilityEnjoyable popcorn movie.","6","bmasterson-96598"," CHEESY BUT I LIKED IT
"
"42","Laughed at the first scene, kept laughing at the stupid decisions and kept laughing at the actors because they seem serious, but are unbelievable. It's a funny film. I would recommend a watch and this is one to watch, especially as a scientist like myself.","2","umnolol"," Watched this drunk
"
"43","Another shark tale.. But much better than most. Actually I really enjoy scary shark movies ever since I saw Jaws in the cinema in the 70s. However, most of them are laughable. Not this one. Extremely scary and in my opinion it is just as good as the popular flicks like Adrift.I don't understand why people have given this such a low rating. What more can you expect from a movie about a group of people stranded in the sea being hunted by great white sharks? I've read reviews claiming that the acting is below par but I don't agree. Perhaps Tim Kano's performance was a little bland but not bad enough to drag the movie down a notch. I thought the characters very believable. Kimie Tsukakoshi is totally gorgeous, along with Katrina Bowden so no complaints there. The cinematography was breathtaking, the sharks very scary and the tension certainly had me on the edge of my seat.Just one criticism; in one scene the shark got himself stuck which is unrealistic because sharks have to keep moving or they die. The water needs to pass through their gils or they drown. I'm not going into any more details as I don't want to add spoilers.Well worth a watch, I would recommend it. 8/10 from me..","8","paul-ayres-60784"," Some very tense moments.
"
"44","It's funny, that over the last twelve months movies that would never have been given the green light have had a chance.This is one of those movies.Very low budget, but worth a look. Even if it's for no other reason than it's not another zombie movie. I'm over the horror/thriller genre being 80% the same movie, just being shot from different angles.This is no award winning masterpiece. But at least it's got a little something. Would be nice to see what they could've done with an actually decent budget.","6","greenhouse3505"," Worth a look
"
"45","The first maybe 10 minutes was decent, after that is was like watching Disney Channel stars act out a horror movie. The same type of CGI you'd see on a show like The Suite life of Zack and Cody.","2","coryh-30073"," Disney Channel shark movie
"
"46","Great scenery, camera work, set up of the story,decent characters, but after 30 minutes it just went downhill in a crazy fashion.First 30 minutes: 9/10 , after that: 4/10.","6","yvesdemaria"," Loved the first 30 minutes
"
"47","All those that gave this less than a 5 are idiots.I even reported them as such.","10","heliparts"," All those that gave this less than a 5 are idiots.
"
"48","Had a feeling this film was going to be bad but still decided to give it a watch anyway.The film follows a group of 5 who become stranded in the sea & find themselves floating on a raft while trying to survive Great White Shark attacks.I found the film to be boring for the most part, while there were some decent shark shots a lot of them looked really fake looking (Poor GCI) & made even Jaws: The Revenge seem more realistic! The characters were alright, aside from one which really annoyed the crap out of me! The film however was short at 1 hour & 21 minutes, but felt longer due to it mostly being the group moaning & talking to each other while floating endlessly.But my main hate towards this film is the sexism. All the Male characters die & all the females live (how original), once again it's typical in the 2020's that men can't be hero's & save the day, cause women apparently don't need men (who are treated as useless in films like this) to save them from danger, how typical! How EmPowErInG! How Wo0Ke! Seriously? Why do films have to be like this? Can't good films be made anymore? Apparently not in 2021 or the 2020's for that matter...!Overall, terrible film! 1/10.","1","vengeance20"," A Shark Version Of Black Water: Abyss
"
"49","Weird how stupid the script was.The film was boring and had nothing to offer as nothing was happening.The act was bad the CGI was terrible .everything was actually wrong with this movie totally unreal without fan at all.","1","vassiliskounelis"," Emmm why ?
"
"50","Worst shark film ever, and didn't think sharks could scream or roar lol.","1","andynicko"," Jeez
"
"51","The first half of the film grabs your interest with intrigue and slick production, but too many holes in the script later, loses you. It's a gorgeously shot caper film, but tries too hard to be cool, and someone should have spent more time plugging those story holes, as one's interest drains by the end.","6","Instant_Palmer"," A Tale Of Two Movies
"
"52","... but god help us all as the most conjured, contrived and concocted, made for tv, middle of the road, median, mean and average bank heist story goes bust and burst while flooding, flailing and failing to entertain through an exceptionally unbalanced, uneven, off centre and out of kilter plot - the securely locked door left open for a part two suggested, but let's hope not.","5","Xstal"," God Save the Queen...
"
"53","Refreshingly easy watch. No politics or ""woke"" crap just a easygoing popcorn movie. Wanted to give it 7/10 but just because it was free of all 2021 boring stuff I give it a nice 8/10. Watch this without worrying about getting hit over the head with real live crap and just enjoy!","8","mariannelisabeth"," Popcorn movie
"
"54","It was good, really well directed and shot, but the story is nothing new. It's basically a tamed down shortened movie version of Money Heist, but not nearly as cleverly or suspensefully written. Plus I feel Freddie Highmore was a poor casting choice. I kept expecting some dumb equations to pop up like they do in the lame TV series he's in, The Good Doctor. Plus he still had that lost-in-space duh look.","7","Top_Dawg_Critic"," Nothing we haven't seen before.
"
"55","Spanish version of Ocean's Eleven/Mission: Impossible. But worse.","5","calsols"," Misión imposible?
"
"56","Brilliant start, with some beautiful visuals, although they missed the trick of the correct way to shoot from hundreds of years ago, to present day in one shot, but on we go.I confess I'm not overly familiar with Highmore, but within seconds I looked up from what I was doing with a gasp of 'what'! He sounds like & has the charisma of a librarian talking through a sock & a thick one at that, I barely got half of what he was saying & the embarrassing 'you're a genius kid' dialogue was cringe. How Freddy is where he is, surely is a testament to the ridiculousness of Hollywood, or most films of today. PS - I like librarians.Famke Janssen, when I realised that's who it was, appears to have had an argument with herself & taken it out on her face. My advice, as someone who's had a little nip tuck Ms Janssen, is to leave it a little longer before you agree to filming & or get a lawyer versed in medical malpractice.As to the 'movie', I went & put the kettle on.","2","heratyplant"," Great First 5 Minutes, Then Oh Dear!
"
"57","This started off as your typical 'principled' heist movie with shady government agents, double crossing heroes, and a man motivated by just doing what's right/
They had to break into the unknowable unbreakable vault - of course.Well, the vault floor was a giant SCALE - and if any motion was detected the room would flood - killing everybody.Uhhhhhh, ok. So how did they get the 4 treasure chests in the middle of the room?Maybe our intrepid band of thieves should have just found the OFF switch the bank apparently used to put stuff in there.This isn't a plot hole - it's a story killing absurdity.","3","handycapt1"," Rapidly falls apart - absurd ending
"
"58","Gave up half way through.
When you watch halfway through a movie and nothing even remotely pulls you into it, then why watch the other half?
There was nothing great about the dialogue, just the same old stuff, no action set pieces to get the adrenaling pumping, no comedy, nothing.
If this movie was a colour it would be light grey.
There are hundreds of movies that pull of the ""Heist"" style movie much better. Go watch one of those.","2","simon-1233"," Just Boring.
"
"59","The dialogue is awful and stale, which was enough to put me off. I rarely turn a film off half way but after the supposedly complicated machine that meant FH had to go into the bank turned out seemingly, to require about 2 button presses I realised just how weak the entire thing is. It stinks of lazy writing, and I can't stand a lazilly concocted screenplay. Some great actors, all of whom are wasted on this film. With such bland dialogue even the greatest of actors wouldn't be able to pump life into it. It's just not good... at all. Don't waste your time. I've turned it off at around the 50 minute mark to go and watch some paint dry in the kitchen.","2","alexcook-47914"," Lazy writing and wasted talent
"
"60","The idea of the film lacks creativity, the viewer feels that he is watching a collection of several scenes from old films. The end is also expected.","6","bou3zizi"," no creativity
"
"61","The main dude, who looks like a confused bong head at a slayer concert most of the time, absolutely ruined this movie for me :S I have nothing more to add really, if the casting had been different, I'm pretty sure I'd have enjoyed the rest of it . Please movie makers, never hire this frog faced , skyhigh looking hippy again ! :)","5","aronisland"," Main dude is absolutely horrible :S
"
"62","The movie starts off slowly but little by little it turns into a total dud. The only suspense is trying to figure out how soon it will be over. The ending, if you can put all the pieces together, turns into a total letdown. This is strictly a ""Who cares?"" movie. However, if you're on a date, your date will do anything to avoid having to watch it, if you get my drift.","1","ancientlight"," A Tiresome Plot Reworked for the 25th Time
"
"63","So a handful of randoms and an English kid they've never met, break into the world's most secure vault...after 1 day planning?!English kid gets an unknown text message and just walks off to meet the person...then agrees to rob a bank with a group of people he knows absolutely nothing about?!When the vault fills with water, just as it gets to the top, the English kid's face was clearly visible on the security camera and was viewed by at least 3 people. Yet he more or less, just walks off scot-free, with nobody looking for him and he isn't on the run at all...in fact, he's already planning his next robbery!It's just an unrealistic joke...more like an episode of 'Hustle', than a movie.And it was really slow throughout.","3","Go_For_The_Jugular"," Boring and lacks logic
"
"64","Its far from perfect but i really enjoyed it and got my fix of bank of spain being robbed whilst i wait for ""money heist"" season 5","8","taz103"," Much better than most of the junk around at the moment
"
"65","No reason to write any bad reviews
pretty decent movie, good acting, world cup scenes were there to make it more ""real"", well written and a twist in the end","7","abdullahgokcekesgin"," not bad at all
"
"66","Fun easy to watch. it is a successful dual language entertaining movie. English and Spanish actors did a great job cause often it is a fail when there is another language interferes.
However the movie delivers in a creative way to tell a story using the world cup event. Loved the music choices. it worth watching.","7","Mohamad021"," Fun and easy to watch
"
"67","The basic idea sounds like fun, but then the actual break in is so poorly scripted and done it ruins the entire movie....","3","svandamme"," good idea, poor exectution
"
"68","A poor heist movie with.nothing to add.usual tropes of the genre that have been done to death.a genius.","3","sameershettyrules"," dont waste your time.
"
"69","When will they stop revolving the same type movies? There's The bank job, the Italian job, oceans 11 12 & 13, den of thieves, inside man, heist and more that are basically the same movies with different actors. Just like other movies they've been recycled with new actors and changed only slightly. Compared to if you've seen one zombie movie you've seen em all or one vampire movie etc. funny planning such a high level heist yet they went with the short ladder. Hollywood always amaze me with their actions. So the bad good guy convinces the good good guy to work for him using the lovely daughter. Then one of the people that work for the bad good guy turns out to be the bad bad guy. Where do I remember that?","4","Neptune165"," From good doctor to bad engineer
"
"70","If you are a heist movie fan, don't miss this one! A great mix of excitement, cool and genius planning and all the ups and downs executing it!","10","popsticles-56820"," One of the best heist movies in years
"
